675951.31;4742463.82;0;1_28_DG;12.47;1414.6;973.78;471.17;3
675747.01;4742854.78;0;2_1_DG;0.416;214.17;73.96;35.82;3
675764.72;4742441.47;0;3_15_DG;0.416;318.92;217.24;104.82;3
675879.42;4742377.08;0;4_5_DG;0.416;295.29;97.6;47.27;3
675916.66;4742364.38;0;5_1_DG;0.416;78.94;27.38;13.26;3
675910.16;4742427.08;0;6_9_DG;0.416;29.68;16.45;5.86;1
675903.22;4742601.0;0;7_11_DG;12.47;1225.76;628.83;302.91;3
675718.66;4742614.35;0;8_11_DG;12.47;1213.95;835.24;403.53;3
675809.85;4742725.18;0;9_14_DG;12.47;1315.05;445.19;215.61;3
675694.47;4743050.14;0;10_29_DG;12.47;5416.799999999999;1783.15;863.62;3
675832.13;4742480.48;0;11_2_DG;0.416;303.65;100.37;48.61;3
675843.03;4742964.95;0;12_21_DG;12.47;940.54;646.45;311.93;3
675826.13;4743113.41;0;13_8_DG;12.47;519.4300000000001;174.51;84.52;3
